"TimeSpan","BlueTeam.min","RedTeam.min","OppositeTeam.min","BlueTeam.median","RedTeam.median","OppositeTeam.median","BlueTeam.max","RedTeam.max","OppositeTeam.max"
114,7,2.5,5.4,57.2,63.55,59.9,66.6,124,123.4
115,5.6,2.2,3.6,58.3,63.5,60.25,67.2,123,122.4
116,4.4,1.6,3.1,63.05,62.8,57.8,67.7,125,123.1
117,3.6,5,2.9,63.1,63.1,62.05,68.4,128,125.2
118,3.6,9,1.6,63.05,60.8,62.8,70.1,125.7,127.1
119,2.1,6.5,1.6,66.5,57.55,60.2,69.1,120.1,123.1
120,3.5,1.8,0.3,67.65,56,67.6,118,122,122
121,4.1,1.4,2.2,66.9,56.5,66.3,116,120,122
122,2.8,0.5,7.8,67.3,53.45,72.7,118.7,57.6,126.8
123,2.8,1.4,11.2,68.15,56.2,70.95,117.2,58.6,124.7
124,6.7,2.7,11.7,70.9,56.4,70.05,115.6,62.6,125
125,9.8,5.8,16.8,67.55,59.45,66.55,115.6,66.6,123.7
126,6.9,2.8,16,65.2,63.6,65.15,115.4,67.4,123
127,4.2,2.9,15.5,66.5,64.5,63,117.4,65.3,124
128,2.5,7.2,11.1,68.75,58.4,59.55,120.9,64.3,125
129,3,8.6,4.1,68.25,59.5,57.95,122.8,61.5,126
130,5.8,6.7,7.6,67.7,56.05,57.75,124.8,61.7,127
131,1.4,8.5,7.2,68.5,58.15,60.4,127,65.3,129
132,5.4,5.1,11.2,64.8,59.2,61.9,128.5,65.3,133.1
133,10,2,13,61.4,56.25,61.55,127.4,59,128.2
134,8.5,2.7,11,61.15,58.05,61.75,124.9,61,128.2
135,9.6,1.8,4.5,62.15,58.35,60.8,126.3,59.9,126
136,6.1,4.1,10,64.05,57.7,62.5,133.7,62.7,127.7
137,2,5.1,9.4,64.05,59.15,62.85,133.3,67.4,128.3
138,6.4,6.1,8.5,62.05,59.5,63.4,132.8,69.2,128.9
139,9.5,2.8,7.2,60,65.2,68.3,132.4,125.2,132
140,7.3,2.2,5.8,60.2,65.7,69.3,132.3,124.1,130.6
141,3.2,2.7,7.2,63.15,61.9,66.5,132.2,122.1,129.3
142,1.8,4,5.6,63.55,64.3,65.6,134.1,118.4,130.9
143,5,4.8,2.2,62.65,66.75,65.8,130.4,118.7,128.8
144,5.7,5,2.2,63.55,65.85,64.7,133.9,119,130
145,9.8,5.4,6.3,62.4,64.3,67.7,133.1,119.7,131.2
146,4.2,2.2,6.1,62.3,66.15,67.1,132.3,121.2,132.8
147,4.2,3.9,5.1,60.65,68.8,68.6,130.8,123,135.2
148,4.5,1.4,0.8,61.4,66.15,68.35,131.2,122.8,132.7
149,6.6,4.6,1.4,66.65,66.45,65.55,134.8,122.5,134.7
150,4.5,0.8,7.1,66.25,68.85,64.1,135.1,123.3,135.4
151,2,2.2,11,68.05,69.4,65.2,135.8,124.8,136.4
152,1.1,3,10.1,67.35,66.45,64.5,137.5,126.3,138.6
153,5.4,4,13.1,69.45,68.95,65.65,141.9,128.1,138.1
154,1.8,4.9,11,68.9,70.65,65.2,138.1,130,136.3
155,6.3,5.9,5.7,65.45,69.85,65.05,133.2,132.1,134.8
156,13.9,7,7.7,65.85,68.3,65.4,131.6,133.6,134.1
157,21.8,7.9,6.8,65.65,70.95,66.45,130.6,134.5,133.7
158,20.6,8.9,0.9,62.85,74.2,65,127.1,134.4,131.2
159,19.2,10,4,63.75,74,66.45,128.2,137.7,134.2
160,17.9,10,4.5,62.9,71.25,65.45,127,138.4,133.5
161,14.4,9.7,2.9,60.35,74.15,63.85,123.1,137.4,130.7
162,11.3,6.5,3.5,60.25,74.05,63.2,124.7,132.5,129
163,8.3,5.3,4,60.9,68.7,61.65,124,129,127.3
164,10,8,1.4,64.35,70.05,62.5,126.1,129.4,127.6
165,10.4,11.2,3.6,63.65,88.95,68.7,125,139.3,135.7
166,11.2,2.2,1.4,64.3,84.95,69.3,125.3,129.1,132.1
167,6.3,3,5.4,66.5,81.55,69.6,130,131,133.2
168,4.2,2.2,7.2,69.15,77.05,67.9,133,130,139
169,5.8,1,2.3,70.5,74.85,64.1,133,124.1,135.3
170,4.4,1,2.8,66.8,73.85,63.3,132.1,128,135.7
171,3.6,3,2,65.85,73.95,64.6,130.6,130,133.1
172,4.9,2.2,1.2,65.85,72.05,63.3,129.6,128.1,130.7
173,5,7.1,0.5,66.4,73.1,64,130.5,129.2,131
174,10.4,3.8,1.1,66.05,73.25,65.5,129.3,128,129.1
175,8,3.6,2.2,67.7,71.75,65.7,132.4,130,131.7
176,7.5,3.2,3.2,71.1,71.15,65.35,137.5,130,136.1
177,9,8.1,3.8,69.9,69.7,64.2,135.4,133.6,137.3
178,9.9,7.1,10.4,70.5,68.5,65.3,134.2,132,138.1
179,8.6,5,10,69.05,65.95,65.05,133,130,137.5
180,9,3,10.2,67.05,63.3,63.5,132.2,128.2,136.2
181,8.2,2.2,11,66.7,61.7,64.15,131.3,128.3,135.1
182,7.1,2.2,12.6,67,57,63.05,132.5,127.7,134.6
183,7.3,1.4,10.6,66.95,60.95,58.75,133.3,127.1,135
184,16,4.2,7.7,80.75,64,66,131.7,129,133.6
185,19,3.6,3.5,80.15,67.35,66.2,132.2,131.1,134.4
186,22.2,5.4,3.7,74.85,67.9,68.5,130.1,133.6,135.3
187,22.1,5.7,1.8,70.95,66.85,64.8,129.5,132.4,134.2
188,24,7.6,3.6,65.55,64.4,53.95,131.1,131.3,133.2
189,20.1,10,4.7,65.55,63.1,49.15,130.8,131.5,133.5
190,18.2,5.7,2.9,65.9,59.65,47.05,131.5,134.2,133.8
191,19.3,4.1,4.1,65.95,53.9,42.3,131.1,135,134.4
192,17.4,2.5,6.4,66.5,49.65,40.15,130.2,135.8,135.3
193,14.8,5.4,6.4,67.55,44.35,36.5,128.7,135.8,134.2
194,13.1,3,6.7,65.95,41.95,33.8,120.6,135.4,129.2
195,13.5,6.4,7.3,67.15,34.85,26.45,122.7,132.5,133.5
196,16.4,2.2,5.7,65.5,46.25,32.25,122.2,131.7,130.2
197,12.1,6.1,3.6,59.9,40.15,24.75,114,129.5,126.6
198,7.2,2,7.7,55.25,36.35,21.85,108,129.4,124.9
199,4.2,5.1,10.7,88.1,32.05,29,99.6,129.7,122.9
200,3.6,8.3,13.5,83.05,28.15,27.8,96.8,130.2,121.7
201,4.6,4.2,8.8,80.65,27.3,31.7,93.4,130.9,119.9
202,4.7,3.6,9.6,75.7,29.15,36.1,89.8,129.9,119
203,4,2,6.3,70.9,29.2,40.8,85.4,127.7,118.4
204,4.1,1.6,2,65.85,28.35,45.6,80.3,128.8,118
205,5.5,1,0.7,62.05,26.8,50.6,75.2,130.2,117.9
206,4.7,5.4,3.6,57.4,26.3,55.3,72.2,130.2,119.3
207,1,5.4,6,50.7,32.3,49.2,67.4,131.9,119.6
208,4,4.1,7.2,44.3,39.3,43.4,62.9,134.1,120.1
209,2.1,4.5,14.1,39.35,39.95,42.8,58.7,134.2,120.9
210,2.2,6.5,15.3,35.8,42.55,37.4,55.2,134.3,121.9
211,2,5.7,10.3,28.7,41.1,31.3,48.3,132.1,125.1
212,2.2,4,7.2,26.15,39.5,28.9,46.6,132.3,125
213,2.3,3,6,24,39.6,25.6,45.3,132.9,124.8
214,4.1,4,5.1,19.1,41.7,30,45.1,136.1,124.7
215,3.2,5.2,8.9,14.85,41.05,28,46.3,136.1,124.5
216,3.6,4.5,9.4,11.2,37.75,27.1,43.8,137.8,122.4
217,5.5,2.9,2.1,10.6,35,28.3,42,133.6,120.3
218,4,1.9,3.2,16,35.05,28.5,42.2,133.4,120.7
219,6,1,2.2,19.35,36.75,28.8,43.4,133.3,122.6
220,6.1,12,4.1,19.7,38.3,29.7,41.4,133.1,126.3
221,5.6,3.6,7.1,19.65,39.55,29.5,40.3,134.3,129.4
222,4,6.7,4,17.45,34.9,27.2,34.2,133.7,129.4
223,4,7,4.2,16.65,78.3,27.7,37.6,133.9,134.5
224,1,1.6,3,17.95,77.45,31.7,37.6,138.2,138.9
225,6,1.9,4.4,17.55,77.6,28.9,40.7,135.7,136.2
226,1.4,2.2,6,14.25,76.9,29.5,39.1,135.8,136.6
227,3.2,4.2,12.3,14.2,79.55,26.2,39.1,136,135.2
228,2.8,6.4,9.5,15.6,77.2,24.8,42.1,136,133.9
229,2.2,31.8,8.6,11.8,119.5,27.9,42.1,133.6,129.6
230,2.3,1.3,6.9,13.85,73.35,25.2,40.3,132.8,128.9
231,5.7,4.5,9.2,14.8,76.6,21.6,38.8,132.4,128.3
232,4.2,2.5,6.7,17.1,75.15,19.4,37.1,131.5,130.5
233,4.2,0.8,2.2,18.7,74.45,22.25,33.8,130.6,132.3
234,5.2,4.2,1.7,23.7,77.55,25.3,31.3,133.1,132.3
235,4,2,1.1,24.3,79.3,25.1,30.5,133.1,132.6
236,2.2,7.5,3.2,24.45,82.85,24.25,26.4,136.1,132.9
237,1,7.3,3,19.5,78.5,18.4,21.9,133,133.1
238,0.5,27.5,2.5,13.95,127.3,24.25,15.8,130,132.1
239,1,20.4,3.6,8.5,126.4,21.4,9.5,129,132.1
240,4,15.1,2.5,6.9,124,14.4,13.8,126.8,134.2
241,3,12.2,3.6,8.2,126,13,16.4,128.5,134.4
242,3.7,11.2,2.2,8.2,120.1,13.3,14.1,126,128.1
243,2.4,13.9,1,7.2,119.2,68.1,14.4,124,138
244,5,17,1.4,12.05,110.1,18.15,16.3,117.7,129
245,2.2,19.7,2,11.3,100,19.1,17,108,118.8
246,2.2,18.4,2.8,17.05,90.5,20,98.4,97.6,173.4
247,2.2,15.3,4.5,18.35,81.1,19.7,94.8,87.3,164.5
248,5.7,78.6,10.6,18.5,78.6,82.35,91.7,78.6,155.5
249,4.1,72.9,5.1,17.1,72.9,73.2,90.5,72.9,146.5
250,4.9,65.6,4.6,14.8,65.6,63.5,86.7,65.6,137.6
251,2.1,64.4,1.7,8.25,64.4,60.45,83.4,64.4,129.2
252,2.2,63,4.1,7.6,63,58.35,80.4,63,121
253,2.1,60.8,6.7,6.45,60.8,57.2,78.1,60.8,113.1
254,2.6,NA,55.9,7.4,NA,62.5,76.9,NA,105.3
255,1.4,NA,58.6,4.1,NA,62.2,69.9,NA,97.9
256,2.2,NA,51,10.4,NA,58.9,66,NA,90.8
257,2.9,NA,54.8,8.9,NA,59.8,59.3,NA,83.7
258,6.3,NA,55.4,13.45,NA,61.7,55.5,NA,77.7
259,4.2,77.6,54.3,13.95,77.6,90.7,51.8,77.6,145.3
260,2.5,79.2,52.6,18.55,79.2,86.5,48.1,79.2,139.7
261,6.4,80.2,48.4,18.1,80.2,86.15,39.6,80.2,134
262,3.2,72.9,53,17.05,72.9,89.65,30.4,72.9,131.3
263,3.2,69.8,57.7,17.15,69.8,90.65,23.3,69.8,130.6
264,4.7,71.1,55.1,18,71.1,87.85,26.5,71.1,129.7
265,9.1,72.5,52.1,17.4,72.5,85.65,34.5,72.5,129
266,6.5,68.1,53.1,22.9,68.1,85.25,43,68.1,128.2
267,2.5,61.6,56.2,31.65,61.6,86.35,48.5,61.6,127.4
268,3.3,55.9,57.7,37.1,55.9,88.85,55.5,55.9,126.6
269,7.2,45,60.8,41.35,50.3,108.7,60.2,78.1,151.2
270,6.4,45.1,62.8,43.05,46.7,107.3,65.4,69.4,147.6
271,4.5,50.3,53,54.95,50.4,100.8,108.9,70.4,165.6
272,5.5,46.3,52.5,54.3,55.1,95.2,106.6,64.2,157.6
273,5.3,44.9,51.9,53.65,58.5,91.4,105.1,60.1,149.6
274,6.3,51.3,44.6,53.3,58.3,85.6,103.8,65.2,141.7
275,6.8,50.3,39,51.85,59.1,80.8,102.7,70.6,134.1
276,7.4,34.1,40.4,53.15,64.35,98.85,104.4,81.7,155.4
277,8.1,37.6,35.1,55.1,65.15,95.45,107.3,81.8,149.6
